'2019-11-26 19:01:37,896 - [testcases.py-->line:31] - INFO: 用例：正常登录---执行通过'
'2019-11-28 19:35:41,378 - [testcases.py-->line:51] - INFO: 用例：用户名超过18---执行未通过'
'2019-11-28 19:35:41,379 - [testcases.py-->line:54] - INFO: 用例：密码小于6位---执行通过'
'2019-11-28 19:35:41,432 - [testcases.py-->line:54] - INFO: 用例：密码超过18---执行通过'
'2019-12-03 16:54:17,167 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 16:54:17,484 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 16:54:17,615 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 16:54:17,746 - [testcase_login.py-->line:40] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 16:54:17,877 - [testcase_login.py-->line:40] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 16:54:17,956 - [testcase_login.py-->line:40] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 16:54:18,226 - [testcase_login.py-->line:40] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 16:54:18,360 - [testcase_login.py-->line:40] - INFO: 用例：不传密码---执行通过'
'2019-12-03 16:54:18,507 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 16:54:18,656 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 16:54:18,785 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 16:54:18,925 - [testcase_login.py-->line:40] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 16:54:19,051 - [testcase_login.py-->line:40] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 16:56:00,797 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 16:56:00,923 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 16:56:01,044 - [testcase_login.py-->line:40] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 16:56:01,222 - [testcase_login.py-->line:40] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 16:56:01,361 - [testcase_login.py-->line:40] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 16:56:01,691 - [testcase_login.py-->line:40] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 16:56:01,897 - [testcase_login.py-->line:40] - INFO: 用例：不传密码---执行通过'
'2019-12-03 16:56:02,447 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 16:56:02,611 - [testcase_login.py-->line:40] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 16:56:02,748 - [testcase_login.py-->line:40] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 17:02:33,693 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 17:02:33,821 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 17:02:33,949 - [testcase_login.py-->line:40] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 17:02:34,102 - [testcase_login.py-->line:40] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 17:02:34,248 - [testcase_login.py-->line:40] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 17:02:34,501 - [testcase_login.py-->line:40] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 17:02:34,670 - [testcase_login.py-->line:40] - INFO: 用例：不传密码---执行通过'
'2019-12-03 17:02:35,137 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 17:02:35,287 - [testcase_login.py-->line:40] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 17:02:35,435 - [testcase_login.py-->line:40] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 18:19:46,975 - [testcase_login.py-->line:36] - INFO: 用例：注册成功—带注册名，不带类型---执行未通过'
'2019-12-03 18:19:47,157 - [testcase_login.py-->line:36] - INFO: 用例：成功-不带注册名，不带类型---执行未通过'
'2019-12-03 18:19:47,231 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 18:19:47,418 - [testcase_login.py-->line:40] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 18:19:47,614 - [testcase_login.py-->line:40] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 18:19:47,792 - [testcase_login.py-->line:40] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 18:19:47,973 - [testcase_login.py-->line:40] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 18:19:48,252 - [testcase_login.py-->line:36] - INFO: 用例：注册成功-密码16位---执行未通过'
'2019-12-03 18:19:48,327 - [testcase_login.py-->line:40] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 18:19:48,506 - [testcase_login.py-->line:40] - INFO: 用例：不传密码---执行通过'
'2019-12-03 18:19:48,841 - [testcase_login.py-->line:36] - INFO: 用例：注册成功—类型为0---执行未通过'
'2019-12-03 18:19:49,026 - [testcase_login.py-->line:36] - INFO: 用例：注册成功—类型为1---执行未通过'
'2019-12-03 18:19:49,099 - [testcase_login.py-->line:40] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 18:19:49,281 - [testcase_login.py-->line:40] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 18:19:49,461 - [testcase_login.py-->line:40] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 18:39:52,641 - [testcase.py-->line:39] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 18:39:52,771 - [testcase.py-->line:39] - INFO: 用例：成功-不带注册名，不带类型---执行通过'
'2019-12-03 18:39:52,888 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 18:39:53,008 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 18:39:53,119 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 18:39:53,229 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 18:39:53,337 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 18:39:53,467 - [testcase.py-->line:39] - INFO: 用例：注册成功-密码16位---执行通过'
'2019-12-03 18:39:53,575 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 18:39:53,695 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 18:39:53,810 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 18:39:53,927 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 18:39:54,033 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 18:39:54,140 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 18:39:54,249 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 18:41:41,710 - [testcase.py-->line:35] - INFO: 用例：注册成功—带注册名，不带类型---执行未通过'
'2019-12-03 18:41:41,905 - [testcase.py-->line:35] - INFO: 用例：成功-不带注册名，不带类型---执行未通过'
'2019-12-03 18:41:41,983 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 18:41:42,171 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 18:41:42,369 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 18:41:42,593 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 18:41:42,782 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 18:41:43,090 - [testcase.py-->line:35] - INFO: 用例：注册成功-密码16位---执行未通过'
'2019-12-03 18:41:43,161 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 18:41:43,356 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 18:41:43,665 - [testcase.py-->line:35] - INFO: 用例：注册成功—类型为0---执行未通过'
'2019-12-03 18:41:43,843 - [testcase.py-->line:35] - INFO: 用例：注册成功—类型为1---执行未通过'
'2019-12-03 18:41:43,922 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 18:41:44,106 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 18:41:44,302 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 18:55:50,049 - [testcase.py-->line:39] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 18:55:50,180 - [testcase.py-->line:39] - INFO: 用例：成功-不带注册名，不带类型---执行通过'
'2019-12-03 18:55:50,289 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 18:55:50,417 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 18:55:50,542 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 18:55:50,661 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 18:55:50,786 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 18:55:50,949 - [testcase.py-->line:39] - INFO: 用例：注册成功-密码16位---执行通过'
'2019-12-03 18:55:51,058 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 18:55:51,165 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 18:55:51,286 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 18:55:51,407 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 18:55:51,513 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 18:55:51,620 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 18:55:51,733 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 18:58:51,669 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 18:58:51,782 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 18:58:51,899 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 18:58:52,008 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 18:58:52,146 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 18:58:52,363 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 18:58:52,471 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 18:58:52,809 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 18:58:52,918 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 18:58:53,029 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:00:41,820 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:00:41,928 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:00:42,046 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:00:42,151 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:00:42,265 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:00:42,495 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:00:42,600 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:00:42,955 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:00:43,062 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:00:43,185 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:04:58,825 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:04:58,944 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:04:59,076 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:04:59,201 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:04:59,335 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:04:59,602 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:04:59,736 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:05:00,302 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:05:00,449 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:05:00,604 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:41:08,669 - [testcase.py-->line:67] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:41:08,790 - [testcase.py-->line:67] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:41:08,939 - [testcase.py-->line:67] - INFO: 用例：手机号为未注册过的手机号---执行通过'
'2019-12-03 19:41:09,090 - [testcase.py-->line:67] - INFO: 用例：密码错误---执行通过'
'2019-12-03 19:41:09,393 - [testcase.py-->line:67] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:41:09,547 - [testcase.py-->line:67] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:41:09,997 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:41:10,156 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:41:10,300 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:41:10,459 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:41:10,606 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:41:10,919 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:41:11,053 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:41:11,484 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:41:11,619 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:41:11,755 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:42:22,726 - [testcase.py-->line:63] - INFO: 用例：登录成功---执行未通过'
'2019-12-03 19:42:22,896 - [testcase.py-->line:63] - INFO: 用例：手机号为空---执行未通过'
'2019-12-03 19:42:22,966 - [testcase.py-->line:67] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:42:23,148 - [testcase.py-->line:67] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:42:23,323 - [testcase.py-->line:67] - INFO: 用例：手机号为未注册过的手机号---执行通过'
'2019-12-03 19:42:23,506 - [testcase.py-->line:67] - INFO: 用例：密码错误---执行通过'
'2019-12-03 19:42:23,782 - [testcase.py-->line:63] - INFO: 用例：密码为空---执行未通过'
'2019-12-03 19:42:23,860 - [testcase.py-->line:67] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:42:24,036 - [testcase.py-->line:67] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:42:24,228 - [testcase.py-->line:39] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 19:42:24,425 - [testcase.py-->line:39] - INFO: 用例：成功-不带注册名，不带类型---执行通过'
'2019-12-03 19:42:24,636 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:42:24,819 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:42:25,002 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:42:25,186 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:42:25,381 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:42:25,570 - [testcase.py-->line:39] - INFO: 用例：注册成功-密码16位---执行通过'
'2019-12-03 19:42:25,758 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:42:25,944 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:42:26,138 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 19:42:26,321 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 19:42:26,503 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:42:26,697 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:42:26,942 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:44:42,374 - [testcase.py-->line:63] - INFO: 用例：登录成功---执行未通过'
'2019-12-03 19:44:42,553 - [testcase.py-->line:63] - INFO: 用例：手机号为空---执行未通过'
'2019-12-03 19:44:42,626 - [testcase.py-->line:67] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:44:42,819 - [testcase.py-->line:67] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:44:43,008 - [testcase.py-->line:67] - INFO: 用例：手机号为未注册过的手机号---执行通过'
'2019-12-03 19:44:43,200 - [testcase.py-->line:67] - INFO: 用例：密码错误---执行通过'
'2019-12-03 19:44:43,485 - [testcase.py-->line:63] - INFO: 用例：密码为空---执行未通过'
'2019-12-03 19:44:43,558 - [testcase.py-->line:67] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:44:43,746 - [testcase.py-->line:67] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:44:43,939 - [testcase.py-->line:39] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 19:44:44,125 - [testcase.py-->line:39] - INFO: 用例：成功-不带注册名，不带类型---执行通过'
'2019-12-03 19:44:44,309 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:44:44,498 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:44:44,688 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:44:44,933 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:44:45,138 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:44:45,327 - [testcase.py-->line:39] - INFO: 用例：注册成功-密码16位---执行通过'
'2019-12-03 19:44:45,508 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:44:45,710 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:44:45,892 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 19:44:46,073 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 19:44:46,249 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:44:46,432 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:44:46,648 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-03 19:51:52,928 - [testcase.py-->line:67] - INFO: 用例：登录成功---执行通过'
'2019-12-03 19:51:53,225 - [testcase.py-->line:63] - INFO: 用例：手机号为空---执行未通过'
'2019-12-03 19:51:53,300 - [testcase.py-->line:67] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:51:53,478 - [testcase.py-->line:67] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:51:53,663 - [testcase.py-->line:67] - INFO: 用例：手机号为未注册过的手机号---执行通过'
'2019-12-03 19:51:53,861 - [testcase.py-->line:67] - INFO: 用例：密码错误---执行通过'
'2019-12-03 19:51:54,153 - [testcase.py-->line:63] - INFO: 用例：密码为空---执行未通过'
'2019-12-03 19:51:54,232 - [testcase.py-->line:67] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:51:54,406 - [testcase.py-->line:67] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:51:54,596 - [testcase.py-->line:39] - INFO: 用例：注册成功—带注册名，不带类型---执行通过'
'2019-12-03 19:51:54,807 - [testcase.py-->line:39] - INFO: 用例：成功-不带注册名，不带类型---执行通过'
'2019-12-03 19:51:54,992 - [testcase.py-->line:39] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-03 19:51:55,195 - [testcase.py-->line:39] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-03 19:51:55,378 - [testcase.py-->line:39] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-03 19:51:55,555 - [testcase.py-->line:39] - INFO: 用例：手机号为空---执行通过'
'2019-12-03 19:51:55,742 - [testcase.py-->line:39] - INFO: 用例：密码小于8位---执行通过'
'2019-12-03 19:51:55,938 - [testcase.py-->line:39] - INFO: 用例：注册成功-密码16位---执行通过'
'2019-12-03 19:51:56,129 - [testcase.py-->line:39] - INFO: 用例：密码大于16位---执行通过'
'2019-12-03 19:51:56,326 - [testcase.py-->line:39] - INFO: 用例：不传密码---执行通过'
'2019-12-03 19:51:56,521 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为0---执行通过'
'2019-12-03 19:51:56,732 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型为1---执行通过'
'2019-12-03 19:51:56,916 - [testcase.py-->line:39] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-03 19:51:57,096 - [testcase.py-->line:39] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-03 19:51:57,312 - [testcase.py-->line:39] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-05 08:38:02,130 - [testcase.py-->line:87] - INFO: 用例：登录成功---执行通过'
'2019-12-05 08:38:02,299 - [testcase.py-->line:87] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-05 08:38:02,375 - [testcase.py-->line:87] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-05 08:38:02,452 - [testcase.py-->line:87] - INFO: 用例：手机号为未注册过的手机号---执行通过'
'2019-12-05 08:38:02,532 - [testcase.py-->line:87] - INFO: 用例：密码错误---执行通过'
'2019-12-05 08:38:02,683 - [testcase.py-->line:87] - INFO: 用例：密码小于8位---执行通过'
'2019-12-05 08:38:02,765 - [testcase.py-->line:87] - INFO: 用例：密码大于16位---执行通过'
'2019-12-05 08:38:03,142 - [testcase.py-->line:45] - INFO: 用例：注册成功—带注册名，不带类型---执行未通过'
'2019-12-05 08:38:03,327 - [testcase.py-->line:45] - INFO: 用例：成功-不带注册名，不带类型---执行未通过'
'2019-12-05 08:38:03,400 - [testcase.py-->line:51] - INFO: 用例：手机号长度不足11位---执行通过'
'2019-12-05 08:38:03,587 - [testcase.py-->line:51] - INFO: 用例：手机号长度超过11位---执行通过'
'2019-12-05 08:38:03,797 - [testcase.py-->line:51] - INFO: 用例：手机号格式错误---执行通过'
'2019-12-05 08:38:04,001 - [testcase.py-->line:51] - INFO: 用例：手机号为空---执行通过'
'2019-12-05 08:38:04,194 - [testcase.py-->line:51] - INFO: 用例：密码小于8位---执行通过'
'2019-12-05 08:38:04,496 - [testcase.py-->line:45] - INFO: 用例：注册成功-密码16位---执行未通过'
'2019-12-05 08:38:04,569 - [testcase.py-->line:51] - INFO: 用例：密码大于16位---执行通过'
'2019-12-05 08:38:04,868 - [testcase.py-->line:51] - INFO: 用例：不传密码---执行通过'
'2019-12-05 08:38:05,175 - [testcase.py-->line:45] - INFO: 用例：注册成功—类型为0---执行未通过'
'2019-12-05 08:38:05,372 - [testcase.py-->line:45] - INFO: 用例：注册成功—类型为1---执行未通过'
'2019-12-05 08:38:05,451 - [testcase.py-->line:51] - INFO: 用例：注册成功—类型非0和1---执行通过'
'2019-12-05 08:38:05,633 - [testcase.py-->line:51] - INFO: 用例：注册名超过11位---执行通过'
'2019-12-05 08:38:05,858 - [testcase.py-->line:51] - INFO: 用例：注册过的手机号再次注册---执行通过'
'2019-12-05 08:41:11,683 - [testcase.py-->line:87] - INFO: 用例：登录成功---执行通过'
